ID,Sales
T1188341,48072.610317851795
T1188342,35915.42974611707
T1188343,70680.59220984128
T1188344,33087.11263150618
T1188345,36343.63067074576
T1188346,87934.71839532316
T1188347,57871.35557254549
T1188348,44571.58550030481
T1188349,48709.04892887138
T1188350,32198.81235406667
T1188351,36210.24031355788
T1188352,46023.43064045706
T1188353,36203.24522887128
T1188354,33863.58042397997
T1188355,38438.71317288201
T1188356,32613.672542766948
T1188357,42337.82994485185
T1188358,19826.72467518504
T1188359,24206.28768991855
T1188360,51014.1511727963
T1188361,29037.864447274245
T1188362,38076.22550673704
T1188363,38731.541757147665
T1188364,28425.290688955243
T1188365,35084.0668596578
T1188366,28185.025582308368
T1188367,33194.590799716934
T1188368,28368.5053773229
T1188369,33987.27193104868
T1188370,41544.7729127952
T1188371,35279.4677154289
T1188372,54973.795510208394
T1188373,32438.521272068232
T1188374,29728.669309096702
T1188375,75209.86323240653
T1188376,61863.15771512208
T1188377,29666.763297248253
T1188378,30176.307112678885
T1188379,25115.157058872883
T1188380,56925.32744459899
T1188381,28951.973292894334
T1188382,32225.211863131302
T1188383,31085.15810698193
T1188384,29456.632204978545
T1188385,42347.19647692695
T1188386,33870.141382445625
T1188387,59967.063604091876
T1188388,58443.48633762517
T1188389,30962.31852228677
T1188390,97236.39926754886
T1188391,33385.14564969094
T1188392,44009.667696401084
T1188393,63256.12498037036
T1188394,44829.97005793712
T1188395,30623.39562486405
T1188396,70194.31013002983
T1188397,40693.33215756284
T1188398,35857.374627011464
T1188399,36590.24299820984
T1188400,41193.454000201105
T1188401,28826.044630865938
T1188402,18473.128423841867
T1188403,48660.17666169098
T1188404,26368.35730033812
T1188405,33490.62515258214
T1188406,21954.429841431738
T1188407,48449.34041079165
T1188408,33748.2029368107
T1188409,37168.80824714588
T1188410,23998.390783593994
T1188411,51011.39969411379
T1188412,21784.83969752014
T1188413,33744.666306822466
T1188414,25639.798380000826
T1188415,31186.76384625221
T1188416,42552.916153795886
T1188417,48512.21555005883
T1188418,40891.09218077418
T1188419,42929.43744944096
T1188420,50275.40874569366
T1188421,21121.448909681472
T1188422,49414.30456846285
T1188423,65420.91635737156
T1188424,33862.67232707811
T1188425,30872.181951818562
T1188426,34692.017979072516
T1188427,51935.94773806754
T1188428,35006.502340315215
T1188429,57077.36389023748
T1188430,48634.530485533265
T1188431,36231.390815987535
T1188432,18171.292292602076
T1188433,49282.44010287586
T1188434,32712.86205586769
T1188435,32093.650940723648
T1188436,51676.64736578496
T1188437,47927.43673089616
T1188438,22320.04703686052
T1188439,43556.89801774118
T1188440,35431.1286714742
T1188441,28292.891086322335
T1188442,42306.56406858097
T1188443,41319.818993984125
T1188444,33974.98160875455
T1188445,29750.912732083136
T1188446,25454.66161086557
T1188447,53745.083685469595
T1188448,62772.666277193115
T1188449,40161.33697287632
T1188450,31669.73109018362
T1188451,45350.02913114212
T1188452,21472.78246279238
T1188453,39644.760790452565
T1188454,25490.02455875284
T1188455,57799.00464575827
T1188456,26279.11158562178
T1188457,27091.480808288026
T1188458,29075.549082473648
T1188459,59632.69405515314
T1188460,21089.515151609703
T1188461,38716.25289944268
T1188462,33839.02173911107
T1188463,23483.209356450516
T1188464,44178.815821901335
T1188465,40253.552491619375
T1188466,29655.13224558453
T1188467,23297.324805532775
T1188468,41037.19567399355
T1188469,33865.3731900437
T1188470,22095.66576086018
T1188471,40486.0189931851
T1188472,43258.13583020551
T1188473,35241.46245270893
T1188474,51555.904245567086
T1188475,13514.323103968976
T1188476,43068.23157489378
T1188477,31872.828531530802
T1188478,32436.70041868573
T1188479,18693.188155082687
T1188480,44011.54714463651
T1188481,50668.16650474045
T1188482,42261.83922120008
T1188483,47351.231040019
T1188484,47318.117879408856
T1188485,25253.47626789053
T1188486,19188.85069952421
T1188487,35351.675404743684
T1188488,33872.96276198631
T1188489,29257.828066530834
T1188490,44815.66519915518
T1188491,41586.15092842612
T1188492,26252.77838867017
T1188493,29940.37211041361
T1188494,46317.90891528307
T1188495,22965.604703215657
T1188496,42758.68407745393
T1188497,24668.756664770906
T1188498,29271.44000396474
T1188499,40995.099628969285
T1188500,47968.89284063906
T1188501,30383.558343385725
T1188502,35684.91626317195
T1188503,26240.453684446402
T1188504,29728.665385491495
T1188505,29571.94166786045
T1188506,48987.76418784371
T1188507,41829.65684120641
T1188508,39153.47373975664
T1188509,25409.001734687292
T1188510,31333.11979134888
T1188511,33801.35555643608
T1188512,35686.20550124156
T1188513,27907.01913188198
T1188514,33451.846446048046
T1188515,52733.95984276014
T1188516,32688.115220635147
T1188517,51153.24287982598
T1188518,28555.910238011642
T1188519,40745.49630157059
T1188520,20721.851600539776
T1188521,44324.559839867565
T1188522,33040.31862975327
T1188523,29200.101120210154
T1188524,41342.49078362261
T1188525,56638.002240178525
T1188526,28781.50000501661
T1188527,33082.69327502706
T1188528,32954.98566725346
T1188529,48877.74987092333
T1188530,37076.21445830587
T1188531,46368.17420656437
T1188532,41424.51389737646
T1188533,34951.12447734098
T1188534,36225.15446721507
T1188535,48233.11056128759
T1188536,54047.127530041485
T1188537,81453.02377061217
T1188538,51675.65307798791
T1188539,39595.01732758091
T1188540,34394.50566705071
T1188541,33388.91392977911
T1188542,58439.41430683739
T1188543,36535.661938677404
T1188544,37780.07457360954
T1188545,33870.588543706464
T1188546,24596.41204222839
T1188547,36011.52268185976
T1188548,42041.644559729444
T1188549,29686.424575447454
T1188550,37318.913922791995
T1188551,42562.01494712475
T1188552,17342.42944188137
T1188553,38686.10034282137
T1188554,63638.92061481336
T1188555,31552.633141174545
T1188556,55488.15294382269
T1188557,24262.820330750874
T1188558,25973.964012929508
T1188559,35941.6001000282
T1188560,32784.791177994965
T1188561,43815.18829602315
T1188562,25421.98884243378
T1188563,35235.579125119766
T1188564,51048.99645564223
T1188565,36840.28871523625
T1188566,41115.508549514605
T1188567,50978.769302253684
T1188568,21867.343240781152
T1188569,36621.27234574286
T1188570,34596.05088493583
T1188571,25814.55009292537
T1188572,52285.404068753596
T1188573,30296.88622256511
T1188574,34679.52944119041
T1188575,36133.81223536058
T1188576,48602.87904538081
T1188577,36052.48236867793
T1188578,26549.07829993227
T1188579,29887.832723486954
T1188580,29791.28393058053
T1188581,33966.915857448315
T1188582,26992.508322209917
T1188583,29990.067197661305
T1188584,26519.36967399991
T1188585,68223.79177013643
T1188586,28089.17928760781
T1188587,46947.591135132665
T1188588,28969.873188508052
T1188589,23545.9754787998
T1188590,39587.44276891797
T1188591,29302.103745175886
T1188592,31527.19794558176
T1188593,18888.55984761856
T1188594,79999.08616851366
T1188595,25101.93940280987
T1188596,36143.35296869049
T1188597,82178.4751977745
T1188598,50575.20981860084
T1188599,50189.87041288665
T1188600,31036.72150375019
T1188601,41280.08580252218
T1188602,23131.3643094817
T1188603,68489.4518842265
T1188604,37505.221888838525
T1188605,64739.716659687205
T1188606,25384.351043082766
T1188607,54892.063470997135
T1188608,39665.80139776449
T1188609,26799.97640106052
T1188610,57973.399100506605
T1188611,28542.52708311152
T1188612,48270.979215249135
T1188613,39226.180462459786
T1188614,48931.98531497573
T1188615,27016.882343166264
T1188616,49200.9108532651
T1188617,28291.523607181898
T1188618,49293.423716865596
T1188619,22424.1972348728
T1188620,33971.4148678729
T1188621,34686.48271531659
T1188622,32643.383455603354
T1188623,35925.41203999775
T1188624,19816.042378943013
T1188625,60655.53138001028
T1188626,36687.25216061849
T1188627,35366.34305713102
T1188628,37585.14664725193
T1188629,29618.69188961499
T1188630,33924.27825966012
T1188631,29463.76752523252
T1188632,39621.059819364666
T1188633,37054.737740065175
T1188634,31227.117595815325
T1188635,39339.79945548564
T1188636,26978.586461711915
T1188637,37666.811395868666
T1188638,27434.163615869493
T1188639,74507.32449480699
T1188640,26449.508224553945
